scope,rule,model,mean_cv_R2,sd_cv_R2,min_cv_R2,max_cv_R2,n_conditions,mean_slope_raw,sd_slope_raw,cv_slope_raw,frac_slope_CI_negative,frac_slope_CI_positive,mean_in_sample_R2
rule_model,GoL,all_fates,0.5483172300965877,0.02065482232357626,0.5185296067600358,0.5730443662966305,8,,,,,,
rule_model,GoL,all_plus_coarse,0.5501267237016203,0.02324074770761263,0.5145329759338577,0.5748319605171907,8,,,,,,
rule_model,GoL,birth_bridge,0.3793472525799275,0.05924348179289255,0.2605217097925433,0.45063384834896353,8,,,,,,
rule_model,GoL,cell_fates_all,0.43158977486957983,0.03408754173859082,0.3663602233180864,0.4779709787066371,8,,,,,,
rule_model,GoL,coarse,0.004228788999307138,0.007679796860634984,-0.00728908965146986,0.013639932529860377,8,,,,,,
rule_model,GoL,death,0.14777059824790917,0.06560651219523464,0.059426389081951324,0.22958885275841778,8,,,,,,
rule_model,GoL,entropy,0.000779685729101834,0.005847641955554376,-0.006512468557363782,0.01018705682401635,8,,,,,,
rule_model,GoL,iso_count,0.3603129662935024,0.035847597030732585,0.30333672296602165,0.41357018552451114,8,,,,,,
rule_model,GoL,local_window,0.5399864469947891,0.025976439826931725,0.5029329483002837,0.5663220591479454,8,,,,,,
rule_model,GoL,survive,0.2398727138170969,0.06194178891357568,0.1375711802128279,0.30685939465016787,8,,,,,,
rule_model,GoL,survive_split,0.31711648548761395,0.0623369210672756,0.22272349914921036,0.3882897940387875,8,,,,,,
rule_model,HighLife,all_fates,0.5424020946550745,0.02127208938427815,0.511867785300893,0.5793233482468307,8,,,,,,
rule_model,HighLife,all_plus_coarse,0.544519942714168,0.02127881473783318,0.5132229370201203,0.5790815037890987,8,,,,,,
rule_model,HighLife,birth_bridge,0.3657247723320972,0.065823981892762,0.25928707912860965,0.4306222089391133,8,,,,,,
rule_model,HighLife,cell_fates_all,0.42656593240936697,0.03380892145486565,0.37854637078399583,0.47428954341009044,8,,,,,,
rule_model,HighLife,coarse,0.004750136031089952,0.008116132203353244,-0.004199014979727411,0.020364855128493776,8,,,,,,
rule_model,HighLife,death,0.1330207421277562,0.0574434590191742,0.0642388334263353,0.21648260032053032,8,,,,,,
rule_model,HighLife,entropy,0.0013787176794999106,0.009427001067941367,-0.007760530158803958,0.018983413978232444,8,,,,,,
rule_model,HighLife,iso_count,0.3488648297766057,0.025447179264011625,0.31857268830635577,0.3797806721295272,8,,,,,,
rule_model,HighLife,local_window,0.5360656897780405,0.022652534786423473,0.5056294810608148,0.570544428673466,8,,,,,,
rule_model,HighLife,survive,0.24944648656653792,0.06775467975316803,0.15146411477549707,0.33065801411681833,8,,,,,,
rule_model,HighLife,survive_split,0.3253197309402268,0.06579836084646547,0.2092256247318371,0.3897862246302454,8,,,,,,
rule_slope,GoL,slope_block_entropy,,,,,8,35.57110845416953,24.955690513463004,0.7015719104063252,0.0,0.75,0.009869673565586032
rule_slope,GoL,slope_block_var,,,,,8,9923.853199370169,7658.823880815863,0.7717590866118353,0.0,0.875,0.013219598113709347
rule_slope,GoL,slope_iso_count,,,,,8,-0.8120582662392488,0.1404420519822779,0.1729457821204272,1.0,0.0,0.36689524600981527
rule_slope,GoL,slope_iso_diag_birth_any,,,,,8,-0.8986779434603178,0.17537518346305023,0.19514797791473668,1.0,0.0,0.24765986961320924
rule_slope,GoL,slope_iso_die,,,,,8,-0.7484477473350815,0.059441052394664864,0.0794191078886013,1.0,0.0,0.15566789630746047
rule_slope,GoL,slope_iso_local_window_delta_sum,,,,,8,0.27819400078075446,0.028053931440215642,0.10084304967533858,0.0,1.0,0.5374710063400314
rule_slope,GoL,slope_iso_local_window_gain_sum,,,,,8,1.2689052858400203,0.18407405451500836,0.14506524369390228,0.0,1.0,0.04867843756426067
rule_slope,GoL,slope_iso_local_window_loss_sum,,,,,8,-0.2789167521889693,0.029458536276411717,0.10561766564794792,1.0,0.0,0.5278042213621255
rule_slope,GoL,slope_iso_orth_birth_any,,,,,8,-0.8761656376314835,0.17075729804341824,0.1948915715352947,1.0,0.0,0.3829403242995637
rule_slope,GoL,slope_iso_survive,,,,,8,-0.9677725214184936,0.17869197140520554,0.18464253473854234,1.0,0.0,0.24844849449142886
rule_slope,GoL,slope_iso_survive_connected,,,,,8,-1.1801600407339987,0.17767986278213277,0.15055573536575131,1.0,0.0,0.318001503942381
rule_slope,GoL,slope_iso_survive_isolated,,,,,8,0.43159439320601506,0.1419073550459639,0.3287979577109515,0.0,0.625,0.0064151280623755275
rule_slope,HighLife,slope_block_entropy,,,,,8,39.28887339689265,26.435727609814062,0.6728553232555705,0.0,0.75,0.009206557462970222
rule_slope,HighLife,slope_block_var,,,,,8,11097.672986839414,6869.7433839157575,0.6190255733848434,0.0,1.0,0.01284605793953661
rule_slope,HighLife,slope_iso_count,,,,,8,-0.7837607115134317,0.13121624024675133,0.16741875207447826,1.0,0.0,0.35535215494384326
rule_slope,HighLife,slope_iso_diag_birth_any,,,,,8,-0.8847330789743109,0.2029115378554107,0.22934774643039327,1.0,0.0,0.2492675956419702
rule_slope,HighLife,slope_iso_die,,,,,8,-0.6965790352355707,0.05087503113617126,0.07303554738608116,1.0,0.0,0.1407045016040421
rule_slope,HighLife,slope_iso_local_window_delta_sum,,,,,8,0.2732419305209,0.02701889223536777,0.09888267215709134,0.0,1.0,0.5335290293707078
rule_slope,HighLife,slope_iso_local_window_gain_sum,,,,,8,1.2290594490197653,0.1762858454000455,0.14343150409892588,0.0,1.0,0.04753297398441732
rule_slope,HighLife,slope_iso_local_window_loss_sum,,,,,8,-0.273553693031408,0.028126031100379766,0.10281722315131629,1.0,0.0,0.5232909870886585
rule_slope,HighLife,slope_iso_orth_birth_any,,,,,8,-0.8400489052820059,0.1704556469604953,0.2029115756100773,1.0,0.0,0.3680095662759936
rule_slope,HighLife,slope_iso_survive,,,,,8,-0.9753354134570233,0.16749208287811185,0.171727674979291,1.0,0.0,0.2564623263222236
rule_slope,HighLife,slope_iso_survive_connected,,,,,8,-1.190611205648138,0.15886587176886163,0.13343219937380457,1.0,0.0,0.3252469291800436
rule_slope,HighLife,slope_iso_survive_isolated,,,,,8,0.34471393491816726,0.22193142702000873,0.6438133319793119,0.0,0.5,0.0053443995362842805
