condition_id,rule,L,rho,mechanism,n,y_resid_sd,amplitude,intercept,within_condition_R2_z,within_condition_corr_z,raw_R2_from_mechanism_score
GoL_L128_rho0.20,GoL,128,0.2,iso_count,1000,36.64631507196908,36.699028959782865,-1.0612069583103423e-13,0.3076918015608221,0.554700312232923,0.30769243639130217
GoL_L128_rho0.20,GoL,128,0.2,local_window_loss,1000,36.64631507196908,36.69902895976875,-1.0589252883221188e-13,0.4812495994081998,0.6937222731926327,0.4812505923235537
GoL_L128_rho0.20,GoL,128,0.2,local_window_delta_loss_gain,1000,36.64631507196908,36.72450563025983,-1.0621897949990864e-13,0.5066634172739606,0.7118045476447706,0.5066657140477764
GoL_L128_rho0.20,GoL,128,0.2,fate_all,1000,36.64631507196908,36.78069311289257,-1.0608940612758039e-13,0.535069584636428,0.7314893894311492,0.5350767268503556
GoL_L128_rho0.25,GoL,128,0.25,iso_count,1000,43.50503266895115,43.567612478309556,2.586241218917956e-14,0.3997021189479383,0.6322206447232884,0.39970294361433056
GoL_L128_rho0.25,GoL,128,0.25,local_window_loss,1000,43.50503266895115,43.52605834780315,2.6731425603256688e-14,0.5489036022503633,0.7408803751855976,0.5489037303351518
GoL_L128_rho0.25,GoL,128,0.25,local_window_delta_loss_gain,1000,43.50503266895115,43.59621941917051,2.617274093681409e-14,0.5733159403713237,0.7571779503979521,0.5733184485688436
GoL_L128_rho0.25,GoL,128,0.25,fate_all,1000,43.50503266895115,44.08111521446332,2.6851243375496182e-14,0.5798087112570616,0.7615167457935575,0.5799077541240101
GoL_L128_rho0.30,GoL,128,0.3,iso_count,1000,47.818633201697885,47.88741790926615,1.5565119171665725e-13,0.3361635861977903,0.5797967572963185,0.3361642797713261
GoL_L128_rho0.30,GoL,128,0.3,local_window_loss,1000,47.818633201697885,47.887417909272244,1.56544375711063e-13,0.519841718140716,0.7210012418015826,0.5198427906794245
GoL_L128_rho0.30,GoL,128,0.3,local_window_delta_loss_gain,1000,47.818633201697885,47.91838202732783,1.5645991560529037e-13,0.5385312703007408,0.7338484883736509,0.5385336038882924
GoL_L128_rho0.30,GoL,128,0.3,fate_all,1000,47.818633201697885,48.462453059033535,1.552222908683614e-13,0.54848590545965,0.7406637052970042,0.5485827243442872
GoL_L128_rho0.35,GoL,128,0.35,iso_count,1000,50.67679406956411,50.749690098323434,-7.993338553080868e-14,0.357774192174491,0.5981429012661461,0.35777493033508245
GoL_L128_rho0.35,GoL,128,0.35,local_window_loss,1000,50.67679406956411,50.701285810517774,-7.939180030988548e-14,0.49971464289506007,0.7069050569219114,0.4997147595017708
GoL_L128_rho0.35,GoL,128,0.35,local_window_delta_loss_gain,1000,50.67679406956411,50.78157234735821,-8.191871466412851e-14,0.5104191959087868,0.7144377991858444,0.510421368905513
GoL_L128_rho0.35,GoL,128,0.35,fate_all,1000,50.67679406956411,51.23437387977763,-8.140160761697027e-14,0.5288321447423519,0.727251528705412,0.5288947860043586
GoL_L64_rho0.20,GoL,64,0.2,iso_count,1000,18.03395024551771,18.059891179223424,-1.8223378845142588e-14,0.35515112238599367,0.5959461847639101,0.3551518551346605
GoL_L64_rho0.20,GoL,64,0.2,local_window_loss,1000,18.03395024551771,18.059891179245835,-1.7998813166636944e-14,0.534918957382581,0.7313822947191762,0.5349200610286879
GoL_L64_rho0.20,GoL,64,0.2,local_window_delta_loss_gain,1000,18.03395024551771,18.072670091508478,-1.7918338739700877e-14,0.5641224284991948,0.7510825639649371,0.564125017892144
GoL_L64_rho0.20,GoL,64,0.2,fate_all,1000,18.03395024551771,18.089013503848324,-1.778946018749115e-14,0.5768453172912051,0.759506854749189,0.5768506624110059
GoL_L64_rho0.25,GoL,64,0.25,iso_count,1000,21.815102161356723,21.846482092633178,2.4525753617760886e-14,0.3888716871260388,0.6235964155181287,0.38887248944705843
GoL_L64_rho0.25,GoL,64,0.25,local_window_loss,1000,21.815102161356723,21.82564524801234,2.4525457508389256e-14,0.5531589924217108,0.7437466783115597,0.5531591214994787
GoL_L64_rho0.25,GoL,64,0.25,local_window_delta_loss_gain,1000,21.815102161356723,21.861025433871472,2.4215296434704214e-14,0.5646603548611495,0.7514405143887055,0.5646628466647627
GoL_L64_rho0.25,GoL,64,0.25,fate_all,1000,21.815102161356723,21.93878421916693,2.4371180872287588e-14,0.5668837179634609,0.7529287718819456,0.5669017355276553
GoL_L64_rho0.30,GoL,64,0.3,iso_count,1000,24.799952744462512,24.835626233699106,2.0714754391340734e-14,0.4176771090501813,0.6462801024343985,0.41767797080261704
GoL_L64_rho0.30,GoL,64,0.3,local_window_loss,1000,24.799952744462512,24.81193838858277,2.0802230855200478e-14,0.5614044834519221,0.7492693871056972,0.5614046144537472
GoL_L64_rho0.30,GoL,64,0.3,local_window_delta_loss_gain,1000,24.799952744462512,24.851862357513284,2.0891798952416467e-14,0.5682047310639704,0.7537952043553766,0.5682072101091642
GoL_L64_rho0.30,GoL,64,0.3,fate_all,1000,24.799952744462512,25.102417251431277,2.041020109413495e-14,0.5793639960585102,0.7612148989999977,0.579448122459577
GoL_L64_rho0.35,GoL,64,0.35,iso_count,1000,25.76604578300042,25.803108948647093,-7.191252083917314e-14,0.37212429481438836,0.6100205427542137,0.3721250625821454
GoL_L64_rho0.35,GoL,64,0.35,local_window_loss,1000,25.76604578300042,25.778498333173815,-7.191322031493503e-14,0.523237978979388,0.723351989749935,0.5232381010751899
GoL_L64_rho0.35,GoL,64,0.35,local_window_delta_loss_gain,1000,25.76604578300042,25.81982023177416,-7.204964151872228e-14,0.5358124907546186,0.7319937259864902,0.535814814883585
GoL_L64_rho0.35,GoL,64,0.35,fate_all,1000,25.76604578300042,26.074652315079625,-7.19974388864644e-14,0.5520845485985694,0.7430759684649996,0.5521618949101967
HighLife_L128_rho0.20,HighLife,128,0.2,iso_count,1000,35.89303978111393,35.94467012018309,1.5353328805815896e-13,0.32902098316904904,0.5736040986655772,0.3290216620059494
HighLife_L128_rho0.20,HighLife,128,0.2,local_window_loss,1000,35.89303978111393,35.910386636723395,1.542982767914482e-13,0.5067433534717141,0.7118591656490413,0.5067434717185497
HighLife_L128_rho0.20,HighLife,128,0.2,local_window_delta_loss_gain,1000,35.89303978111393,35.96937069559903,1.540447945756e-13,0.5297089341304262,0.7278126954123746,0.5297113196034259
HighLife_L128_rho0.20,HighLife,128,0.2,fate_all,1000,35.89303978111393,36.012688603299246,1.5359822604464615e-13,0.5468982218507734,0.7395297551780391,0.546904258793691
HighLife_L128_rho0.25,HighLife,128,0.25,iso_count,1000,41.605055460389316,41.66490224779085,-4.311097118045085e-14,0.3274819442857346,0.5722609718889503,0.32748261994728645
HighLife_L128_rho0.25,HighLife,128,0.25,local_window_loss,1000,41.605055460389316,41.664902247755826,-4.311097118045035e-14,0.5180930891951973,0.719787578474462,0.51809415812613
HighLife_L128_rho0.25,HighLife,128,0.25,local_window_delta_loss_gain,1000,41.605055460389316,41.692638363978105,-4.340760934761032e-14,0.5296744974728596,0.727789004355895,0.5296768348613453
HighLife_L128_rho0.25,HighLife,128,0.25,fate_all,1000,41.605055460389316,41.856781158568346,-4.474945469247347e-14,0.5435300929494603,0.7372582668304078,0.5435497520097767
HighLife_L128_rho0.30,HighLife,128,0.3,iso_count,1000,49.418138922348454,49.48922443880655,1.5106321653817567e-13,0.375382760483407,0.6126855106610903,0.375383534974041
HighLife_L128_rho0.30,HighLife,128,0.3,local_window_loss,1000,49.418138922348454,49.442022364072294,1.504257394798467e-13,0.5570077788398635,0.74632962477429,0.5570079088157327
HighLife_L128_rho0.30,HighLife,128,0.3,local_window_delta_loss_gain,1000,49.418138922348454,49.52282504726654,1.5161355260266342e-13,0.575862784753835,0.7588579300776569,0.5758653580417458
HighLife_L128_rho0.30,HighLife,128,0.3,fate_all,1000,49.418138922348454,49.66934276876495,1.503381147063443e-13,0.5876923033462185,0.7666207250273946,0.5877073360415279
HighLife_L128_rho0.35,HighLife,128,0.35,iso_count,1000,51.81127827466129,51.885806202092766,-8.711192800005146e-14,0.3705327937008127,0.6087146771558753,0.3705335581849818
HighLife_L128_rho0.35,HighLife,128,0.35,local_window_loss,1000,51.81127827466129,51.88580620213084,-8.642067019968835e-14,0.5136807468455922,0.7167159874545638,0.5136818066729705
HighLife_L128_rho0.35,HighLife,128,0.35,local_window_delta_loss_gain,1000,51.81127827466129,51.919805966398975,-8.77105349279873e-14,0.527862360561338,0.726542956043987,0.5278646669771349
HighLife_L128_rho0.35,HighLife,128,0.35,fate_all,1000,51.81127827466129,52.50760543995387,-8.732909281889177e-14,0.54412047724837,0.7377100964827182,0.544216186452541
HighLife_L64_rho0.20,HighLife,64,0.2,iso_count,1000,17.54933974352559,17.574583589283023,3.530301162103991e-14,0.333826005002857,0.5777773738677277,0.33382669375348795
HighLife_L64_rho0.20,HighLife,64,0.2,local_window_loss,1000,17.54933974352559,17.574583589317438,3.591177689033002e-14,0.5030334339157242,0.7092492310715178,0.5030344717755395
HighLife_L64_rho0.20,HighLife,64,0.2,local_window_delta_loss_gain,1000,17.54933974352559,17.587408712853073,3.5724567018760636e-14,0.5321303256940386,0.7294743442386257,0.5321328189023729
HighLife_L64_rho0.20,HighLife,64,0.2,fate_all,1000,17.54933974352559,17.68035316527598,3.5717458326005454e-14,0.5393928916091927,0.7344538863542505,0.5394225111808622
HighLife_L64_rho0.25,HighLife,64,0.25,iso_count,1000,21.659172037348817,21.690327670938764,-3.768528425671602e-14,0.3806006954640788,0.6169290726820771,0.3806014807203675
HighLife_L64_rho0.25,HighLife,64,0.25,local_window_loss,1000,21.659172037348817,21.690327670957767,-3.770454913766949e-14,0.5432183731966406,0.7370342556259661,0.5432194939661223
HighLife_L64_rho0.25,HighLife,64,0.25,local_window_delta_loss_gain,1000,21.659172037348817,21.704714122380295,-3.764665227292326e-14,0.5616086823584576,0.7494072023645348,0.5616111549558389
HighLife_L64_rho0.25,HighLife,64,0.25,fate_all,1000,21.659172037348817,21.78249425396231,-3.7336551750670664e-14,0.5660093816980661,0.7523480075908119,0.5660275245258641
HighLife_L64_rho0.30,HighLife,64,0.3,iso_count,1000,24.757879348923133,24.793492317687914,-8.680128779637188e-15,0.386512246662727,0.6217017324374624,0.38651304411574205
HighLife_L64_rho0.30,HighLife,64,0.3,local_window_loss,1000,24.757879348923133,24.7698446592666,-8.944633357622679e-15,0.5558172416277856,0.7455316031704136,0.555817371325847
HighLife_L64_rho0.30,HighLife,64,0.3,local_window_delta_loss_gain,1000,24.757879348923133,24.809030425401822,-8.856076328450487e-15,0.5659132113903302,0.752273631793209,0.5659156170913447
HighLife_L64_rho0.30,HighLife,64,0.3,fate_all,1000,24.757879348923133,24.879073905382608,-9.208633855450899e-15,0.5724997395002138,0.7566461030386449,0.5725133252435677
HighLife_L64_rho0.35,HighLife,64,0.35,iso_count,1000,25.902966829565397,25.94022694928126,1.3391535233910134e-13,0.3394539454866782,0.582627364486848,0.3394546458488905
HighLife_L64_rho0.35,HighLife,64,0.35,local_window_loss,1000,25.902966829565397,25.940226949308975,1.3405358963777263e-13,0.48872820596314237,0.6990917066511206,0.48872921430837646
HighLife_L64_rho0.35,HighLife,64,0.35,local_window_delta_loss_gain,1000,25.902966829565397,25.956210559907458,1.3366193148783615e-13,0.5084077720284579,0.7130286889825376,0.5084099113121563
HighLife_L64_rho0.35,HighLife,64,0.35,fate_all,1000,25.902966829565397,26.214446548791198,1.3342932979037848e-13,0.52342392891773,0.723531503937993,0.5234978371907741
